Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Accident_severity
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Turnover,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,1
31-50,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Under 18,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Under 18,Employee,Above 10yr,Other,Gravel roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Changing lane to the left,1
Under 18,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the right,1
Over 51,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No priority to vehicle,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No priority to vehicle,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Over 51,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,1
Over 51,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Under 18,Employee,Below 1yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
Under 18,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the left,2
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,Overtaking,Driving carelessly,Fatal injury
18-30,Owner,2-5yr,Other,Asphalt roads,Daylight,Normal,Rollover,Going straight,No distancing,1
31-50,Employee,Above 10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Under 18,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Moving Backward,1
18-30,Owner,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Getting off the vehicle improperly,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
18-30,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Reversing,Driving carelessly,1
18-30,Owner,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No distancing,1
Under 18,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,2
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
Over 51,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
31-50,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No priority to vehicle,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Driving at high speed,1
18-30,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Overtaking,Overturning,2
31-50,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
Over 51,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Turnover,Getting off the vehicle improperly,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,No priority to vehicle,1
Under 18,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Over 51,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,1
Over 51,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
18-30,Owner,Above 10yr,Crossing,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,U-Turn,Driving carelessly,2
31-50,Employee,2-5yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Getting off,Changing lane to the right,1
Over 51,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,1
31-50,Owner,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,1
31-50,Employee,1-2yr,Other,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,Moving Backward,1
18-30,Employee,1-2yr,Other,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Owner,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,1
Over 51,Owner,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Over 51,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,No distancing,1
Over 51,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Under 18,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driving carelessly,1
Under 18,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,No distancing,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Moving Backward,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Unknown,Employee,5-10yr,Y Shape,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,No distancing,1
Unknown,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Driving to the left,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
Over 51,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driving under the influence of drugs,1
31-50,Employee,2-5yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,No distancing,1
31-50,Owner,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Changing lane to the left,2
18-30,Employee,1-2yr,Y Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No distancing,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Other,Collision with roadside objects,Going straight,Changing lane to the left,1
Over 51,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Moving Backward,1
Over 51,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Overspeed,1
Over 51,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Changing lane to the right,2
Over 51,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the right,Fatal injury
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Entering a junction,Driving carelessly,2
Unknown,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No distancing,2
Over 51,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Owner,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Changing lane to the right,1
Unknown,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Unknown,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the left,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,No distancing,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Other,Collision with roadside objects,Going straight,Getting off the vehicle improperly,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Changing lane to the left,Fatal injury
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Other,1
31-50,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Moving Backward,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
Over 51,Owner,5-10yr,X Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No distancing,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Getting off the vehicle improperly,2
18-30,Employee,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Other,1
18-30,Employee,2-5yr,Other,Asphalt roads,Daylight,Raining,Rollover,Other,Changing lane to the right,1
31-50,Employee,2-5yr,Other,Asphalt roads,Daylight,Raining,Rollover,Going straight,Driving carelessly,1
Unknown,Employee,5-10yr,Other,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Changing lane to the right,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No priority to vehicle,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
31-50,Employee,2-5yr,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Turnover,1
Over 51,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving carelessly,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
Over 51,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Unknown,Owner,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Other,Collision with roadside objects,Going straight,Driving to the left,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No priority to vehicle,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Moving Backward,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driving at high speed,1
Over 51,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Moving Backward,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Turnover,No distancing,1
Under 18,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Moving Backward,1
18-30,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
18-30,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Changing lane to the left,1
Unknown,Employee,1-2yr,Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Over 51,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Driving carelessly,1
31-50,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No distancing,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Owner,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Moving Backward,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Entering a junction,Changing lane to the left,1
18-30,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No priority to vehicle,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driving under the influence of drugs,1
31-50,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No priority to vehicle,1
31-50,Other,5-10yr,Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,Above 10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Waiting to go,Changing lane to the right,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Driving to the left,1
Unknown,Employee,Above 10yr,No junction,Other,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Overtaking,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Changing lane to the right,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Other,Going straight,Changing lane to the left,1
31-50,Employee,2-5yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Rollover,Reversing,Changing lane to the left,2
Over 51,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Reversing,No distancing,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Overtaking,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Waiting to go,Driving under the influence of drugs,1
31-50,Owner,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Changing lane to the left,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Moving Backward,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Rollover,Going straight,Getting off the vehicle improperly,1
18-30,Owner,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,No distancing,1
31-50,Owner,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Reversing,No distancing,1
18-30,Employee,Below 1yr,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,2
Under 18,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Over 51,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No priority to vehicle,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the right,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Owner,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,1
Under 18,Employee,2-5yr,Y Shape,Gravel roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Driving carelessly,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Darkness - no lighting,Normal,Collision with roadside objects,Getting off,No distancing,2
18-30,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,No priority to vehicle,1
31-50,Employee,2-5yr,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Owner,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,Changing lane to the right,1
18-30,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driving to the left,1
Under 18,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Moving Backward,1
18-30,Owner,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,No priority to vehicle,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Raining and Windy,Collision with pedestrians,Reversing,No priority to vehicle,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Getting off,Driving to the left,1
Under 18,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,1
31-50,Owner,5-10yr,Y Shape,Other,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driving carelessly,1
Over 51,Employee,2-5yr,Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,Below 1yr,Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,2-5yr,Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Driving under the influence of drugs,1
18-30,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,1
Over 51,Employee,5-10yr,Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Owner,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,No priority to vehicle,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Moving Backward,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Owner,Above 10yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,No Licence,No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,Turnover,Moving Backward,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Owner,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Owner,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Changing lane to the left,1
31-50,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,1
Over 51,Owner,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,No distancing,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Getting off,Driving carelessly,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Moving Backward,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driving carelessly,2
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Moving Backward,2
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Other,Driving carelessly,2
Under 18,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Raining,With Train,Going straight,Moving Backward,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Driving to the left,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Changing lane to the left,1
18-30,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Driving under the influence of drugs,2
18-30,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the left,1
18-30,Employee,Below 1yr,Y Shape,Other,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Driving at high speed,1
